ROUTEID,ROUTENAME,ROADTYPE,SUBBLOCKKEY,BIKELANE_PARKINGLANE_ADJACENT,BIKELANE_THROUGHLANE_ADJACENT,BIKELANE_POCKETLANE_ADJACENT,BIKELANE_CONTRAFLOW,BIKELANE_CONVENTIONAL,BIKELANE_DUAL_PROTECTED,BIKELANE_DUAL_BUFFERED,BIKELANE_PROTECTED,BIKELANE_BUFFERED,SUBBLOCKID,BLOCKID,BLOCKKEY,QUADRANT,STREETNAME,STREETTYPE,TOTALBIKELANES,TOTALBIKELANEWIDTH,WARD_ID,SMD_ID,ANC_ID,OBJECTID,SHAPELEN
12001502,15TH ST NE,1,18a1814e8e9e5a1f9f27463c5255a525,IB,IB,,,IB,,,,,12001502-12001502_12008582-12001502_12010202_47081052,12001502-12001502_12008582-12001502_12010202_47081052,18a1814e8e9e5a1f9f27463c5255a525,2,15TH,ST,1,5,6,6A04,6A,7994762,0
12001502,15TH ST NE,1,0450314b17fb2c53d1abf562ad4771b7,IB,IB,,,IB,,,,,12001502-12001502_47072102-12001502_12019822,12001502-12001502_12065392-12001502_12019822,9f7f3b063a3dc1ff18bd944ff6b8b2b3,2,15TH,ST,1,5,6,6A05,6A,7994763,0
12001502,15TH ST NE,1,076be8c9e6fb76343fc186f8026f5f60,IB,IB,,,IB,,,,,12001502-12001502_13001502_15031912-12001502_12008582,12001502-12001502_13001502_15031912-12001502_12008582,076be8c9e6fb76343fc186f8026f5f60,2,15TH,ST,1,5,6,6A04,6A,7994765,0
12001502,15TH ST NE,1,235fc5660f522966e29512a40b58bc90,IB,IB,,,IB,,,,,12001502-12001502_12031332-12001502_47072072,12001502-12001502_12031332-12001502_12034382,74e4d072d0fe316951e0bb44a4322cd3,2,15TH,ST,1,5,6,6A06,6A,7994767,0
12001402,14TH ST NE,1,3b2bd121f783bd180f7c1739d24ed986,IB,IB,,,IB,,,,,12001402-12001402_47046902_47046912-12001402_47073962,12001402-12001402_12019822-12001402_12026912,406262a46eacd6f33dd580fef4d414de,2,14TH,ST,1,5,6,6A05,6A,7994776,0
12001402,14TH ST NE,1,f6c224268e53b73e80423e6f5ef72969,IB,IB,,,IB,,,,,12001402-12001402_12033342-12001402_47056732_47056742,12001402-12001402_12033342-12001402_12034382,ee0542f245e79be1079d0f90ae9758d8,2,14TH,ST,1,5,6,6A06,6A,7994777,0
12001402,14TH ST NE,1,889793c17a572f7566fa499560232caf,IB,IB,,,IB,,,,,12001402-12001402_47056732_47056742-12001402_12034382,12001402-12001402_12033342-12001402_12034382,ee0542f245e79be1079d0f90ae9758d8,2,14TH,ST,1,5,6,6A06,6A,7994779,0
12001402,14TH ST NE,1,1ad7412fca0aa76d1f37c0e1e57fa711,IB,IB,,,IB,,,,,12001402-12001402_12026912-12001402_12031132_12085212,12001402-12001402_12026912-12001402_12031132_12085212,1ad7412fca0aa76d1f37c0e1e57fa711,2,14TH,ST,1,5,6,6A05,6A,7994782,0
12001402,14TH ST NE,1,5542dd03e8a657a46fc35de94acee294,IB,IB,,,IB,,,,,12001402-12001402_12038612-12001402_12059472,12001402-12001402_12038612-12001402_12059472,5542dd03e8a657a46fc35de94acee294,2,14TH,ST,1,5,6,6A06,6A,7994786,0
12001402,14TH ST NE,1,8a0f467f0e5897d28b954e822dcaf2be,IB,IB,,,IB,,,,,12001402-12001402_47073962-12001402_12026912,12001402-12001402_12019822-12001402_12026912,406262a46eacd6f33dd580fef4d414de,2,14TH,ST,1,5,6,6A05,6A,7994787,0
